"gene","removal_reason"
"Phvul.006G025880","no readcount"
"Phvul.006G026040","no readcount"
"Phvul.006G030100","no readcount"
"Phvul.006G035900","no readcount"
"Phvul.006G036500","no readcount"
"Phvul.006G038900","no readcount"
"Phvul.006G042700","no readcount"
"Phvul.006G048300","no readcount"
"Phvul.006G048800","no readcount"
"Phvul.006G050400","no readcount"
"Phvul.006G053900","no readcount"
"Phvul.006G057100","no readcount"
"Phvul.006G070300","no readcount"
"Phvul.006G084200","no readcount"
"Phvul.006G089400","no readcount"
"Phvul.006G091200","no readcount"
"Phvul.006G096300","no readcount"
"Phvul.006G096400","no readcount"
"Phvul.006G098200","no readcount"
"Phvul.006G113100","no readcount"
"Phvul.006G116400","no readcount"
"Phvul.006G118700","no readcount"
"Phvul.006G124200","no readcount"
"Phvul.006G125300","no readcount"
"Phvul.006G127000","no readcount"
"Phvul.006G136200","no readcount"
"Phvul.006G139000","no readcount"
"Phvul.006G155700","no readcount"
"Phvul.006G159200","no readcount"
"Phvul.006G161000","no readcount"
"Phvul.006G166100","no readcount"
"Phvul.006G167200","no readcount"
"Phvul.006G170900","no readcount"
"Phvul.006G174000","no readcount"
"Phvul.006G175100","no readcount"
"Phvul.006G179100","no readcount"
"Phvul.006G181500","no readcount"
"Phvul.006G192200","no readcount"
"Phvul.006G193100","no readcount"
"Phvul.006G193200","no readcount"
"Phvul.006G203500","no readcount"
"Phvul.006G204900","no readcount"
"Phvul.006G210700","no readcount"
"Phvul.006G212401","no readcount"
"Phvul.006G213100","no readcount"
"Phvul.006G214700","no readcount"
"Phvul.006G216900","no readcount"
"Phvul.006G218700","no readcount"
"Phvul.006G218900","no readcount"
"Phvul.006G219300","no readcount"
"Phvul.007G002800","no readcount"
"Phvul.007G011700","no readcount"
"Phvul.007G014000","no readcount"
"Phvul.007G014200","no readcount"
"Phvul.007G016300","no readcount"
"Phvul.007G016900","no readcount"
"Phvul.007G018200","no readcount"
"Phvul.007G025800","no readcount"
"Phvul.007G028000","no readcount"
"Phvul.007G033900","no readcount"
"Phvul.007G037800","no readcount"
"Phvul.007G041200","no readcount"
"Phvul.007G045600","no readcount"
"Phvul.007G059300","no readcount"
"Phvul.007G059600","no readcount"
"Phvul.007G059800","no readcount"
"Phvul.007G063200","no readcount"
"Phvul.007G066200","no readcount"
"Phvul.007G066400","no readcount"
"Phvul.007G069300","no readcount"
"Phvul.007G071200","no readcount"
"Phvul.007G078800","no readcount"
"Phvul.007G086700","no readcount"
"Phvul.007G094900","no readcount"
"Phvul.007G095900","no readcount"
"Phvul.007G098000","no readcount"
"Phvul.007G100300","no readcount"
"Phvul.007G100500","no readcount"
"Phvul.007G107900","no readcount"
"Phvul.007G108200","no readcount"
"Phvul.007G117300","no readcount"
"Phvul.007G117400","no readcount"
"Phvul.007G123002","no readcount"
"Phvul.007G129700","no readcount"
"Phvul.007G136200","no readcount"
"Phvul.007G137100","no readcount"
"Phvul.007G142300","no readcount"
"Phvul.007G142600","no readcount"
"Phvul.007G144100","no readcount"
"Phvul.007G148400","no readcount"
"Phvul.007G153100","no readcount"
"Phvul.007G154900","no readcount"
"Phvul.007G158700","no readcount"
"Phvul.007G158800","no readcount"
"Phvul.007G159200","no readcount"
"Phvul.007G163200","no readcount"
"Phvul.007G166500","no readcount"
"Phvul.007G178800","no readcount"
"Phvul.007G179500","no readcount"
"Phvul.007G183700","no readcount"
"Phvul.007G184400","no readcount"
"Phvul.007G185900","no readcount"
"Phvul.007G190400","no readcount"
"Phvul.007G191200","no readcount"
"Phvul.007G194700","no readcount"
"Phvul.007G195700","no readcount"
"Phvul.007G198100","no readcount"
"Phvul.007G198300","no readcount"
"Phvul.007G203200","no readcount"
"Phvul.007G206800","no readcount"
"Phvul.007G209266","no readcount"
"Phvul.007G216500","no readcount"
"Phvul.007G217900","no readcount"
"Phvul.007G218300","no readcount"
"Phvul.007G219200","no readcount"
"Phvul.007G225900","no readcount"
"Phvul.007G233200","no readcount"
"Phvul.007G234000","no readcount"
"Phvul.007G234600","no readcount"
"Phvul.007G237400","no readcount"
"Phvul.007G237600","no readcount"
"Phvul.007G238300","no readcount"
"Phvul.007G241300","no readcount"
"Phvul.007G252200","no readcount"
"Phvul.007G258400","no readcount"
"Phvul.007G262900","no readcount"
"Phvul.007G264400","no readcount"
"Phvul.007G273900","no readcount"
"Phvul.007G275500","no readcount"
"Phvul.007G277200","no readcount"
"Phvul.008G000100","no readcount"
"Phvul.008G007001","no readcount"
"Phvul.008G015700","no readcount"
"Phvul.008G016000","no readcount"
"Phvul.008G020700","no readcount"
"Phvul.008G022200","no readcount"
"Phvul.008G024000","no readcount"
"Phvul.008G028000","no readcount"
"Phvul.008G031200","no readcount"
"Phvul.008G031500","no readcount"
"Phvul.008G035800","no readcount"
"Phvul.008G039100","no readcount"
"Phvul.008G039800","no readcount"
"Phvul.008G043900","no readcount"
"Phvul.008G044200","no readcount"
"Phvul.008G048600","no readcount"
"Phvul.008G050850","no readcount"
"Phvul.008G055100","no readcount"
"Phvul.008G056200","no readcount"
"Phvul.008G056600","no readcount"
"Phvul.008G058600","no readcount"
"Phvul.008G059100","no readcount"
