"gene","removal_reason"
"Vigun03g039900","no readcount"
"Vigun03g042700","no readcount"
"Vigun03g045400","no readcount"
"Vigun03g045900","no readcount"
"Vigun03g051000","no readcount"
"Vigun03g054500","no readcount"
"Vigun03g054700","no readcount"
"Vigun03g055000","no readcount"
"Vigun03g055400","no readcount"
"Vigun03g057000","no readcount"
"Vigun03g058300","no readcount"
"Vigun03g058400","no readcount"
"Vigun03g059200","no readcount"
"Vigun03g064600","no readcount"
"Vigun03g065300","no readcount"
"Vigun03g065400","no readcount"
"Vigun03g066400","no readcount"
"Vigun03g066800","no readcount"
"Vigun03g067600","no readcount"
"Vigun03g068900","no readcount"
"Vigun03g074000","no readcount"
"Vigun03g075500","no readcount"
"Vigun03g079000","no readcount"
"Vigun03g083900","no readcount"
"Vigun03g090000","no readcount"
"Vigun03g090400","no readcount"
"Vigun03g091100","no readcount"
"Vigun03g091500","no readcount"
"Vigun03g092000","no readcount"
"Vigun03g093000","no readcount"
"Vigun03g094400","no readcount"
"Vigun03g098300","no readcount"
"Vigun03g099600","no readcount"
"Vigun03g100700","no readcount"
"Vigun03g101100","no readcount"
"Vigun03g104300","no readcount"
"Vigun03g111300","no readcount"
"Vigun03g112600","no readcount"
"Vigun03g113000","no readcount"
"Vigun03g118400","no readcount"
"Vigun03g118600","no readcount"
"Vigun03g124000","no readcount"
"Vigun03g127400","no readcount"
"Vigun03g128900","no readcount"
"Vigun03g129400","no readcount"
"Vigun03g129600","no readcount"
"Vigun03g130000","no readcount"
"Vigun03g136300","no readcount"
"Vigun03g137200","no readcount"
"Vigun03g137300","no readcount"
"Vigun03g137600","no readcount"
"Vigun03g139200","no readcount"
"Vigun03g145200","no readcount"
"Vigun03g145700","no readcount"
"Vigun03g149000","no readcount"
"Vigun03g149100","no readcount"
"Vigun03g149400","no readcount"
"Vigun03g149550","no readcount"
"Vigun03g151100","no readcount"
"Vigun03g152100","no readcount"
"Vigun03g157000","no readcount"
"Vigun03g162700","no readcount"
"Vigun03g162900","no readcount"
"Vigun03g164500","no readcount"
"Vigun03g165500","no readcount"
"Vigun03g170400","no readcount"
"Vigun03g172500","no readcount"
"Vigun03g174800","no readcount"
