"gene","removal_reason"
"Bcin01g04640","low readcount"
"Bcin01g04660","low readcount"
"Bcin01g04750","low readcount"
"Bcin01g04910","low readcount"
"Bcin01g04970","low readcount"
"Bcin01g05010","low readcount"
"Bcin01g05280","low readcount"
"Bcin01g05530","low readcount"
"Bcin01g05990","low readcount"
"Bcin01g06000","low readcount"
"Bcin01g06030","low readcount"
"Bcin01g06350","low readcount"
"Bcin01g06380","low readcount"
"Bcin01g06430","low readcount"
"Bcin01g07030","low readcount"
"Bcin01g07140","low readcount"
"Bcin01g07170","low readcount"
"Bcin01g07260","low readcount"
"Bcin01g07320","low readcount"
"Bcin01g07460","low readcount"
"Bcin01g07660","low readcount"
"Bcin01g08080","low readcount"
"Bcin01g08230","low readcount"
"Bcin01g08440","low readcount"
"Bcin01g08520","low readcount"
"Bcin01g08580","low readcount"
"Bcin01g08600","low readcount"
"Bcin01g08610","low readcount"
"Bcin01g08740","low readcount"
"Bcin01g08880","low readcount"
"Bcin01g08910","low readcount"
"Bcin01g09050","low readcount"
"Bcin01g09290","low readcount"
"Bcin01g09300","low readcount"
"Bcin01g09450","low readcount"
"Bcin01g09630","low readcount"
"Bcin01g09830","low readcount"
"Bcin01g09910","low readcount"
"Bcin01g10350","low readcount"
"Bcin01g10420","low readcount"
"Bcin01g10480","low readcount"
"Bcin01g10660","low readcount"
"Bcin01g10670","low readcount"
"Bcin01g11140","low readcount"
"Bcin01g11150","low readcount"
"Bcin01g11180","low readcount"
"Bcin01g11300","low readcount"
"Bcin01g11350","low readcount"
"Bcin01g11410","low readcount"
"Bcin01g11520","low readcount"
"Bcin02g00200","low readcount"
"Bcin02g00380","low readcount"
"Bcin02g00470","low readcount"
"Bcin02g00520","low readcount"
"Bcin02g00750","low readcount"
"Bcin02g00760","low readcount"
"Bcin02g01030","low readcount"
"Bcin02g01120","low readcount"
"Bcin02g01150","low readcount"
"Bcin02g01190","low readcount"
"Bcin02g01200","low readcount"
"Bcin02g01350","low readcount"
"Bcin02g01420","low readcount"
"Bcin02g01600","low readcount"
"Bcin02g01690","low readcount"
"Bcin02g01720","low readcount"
"Bcin02g01830","low readcount"
"Bcin02g01870","low readcount"
"Bcin02g01890","low readcount"
"Bcin02g01920","low readcount"
"Bcin02g02010","low readcount"
"Bcin02g02050","low readcount"
"Bcin02g02080","low readcount"
"Bcin02g02140","low readcount"
"Bcin02g02150","low readcount"
"Bcin02g02330","low readcount"
"Bcin02g02460","low readcount"
"Bcin02g02490","low readcount"
"Bcin02g02510","low readcount"
"Bcin02g02820","low readcount"
"Bcin02g02830","low readcount"
"Bcin02g03190","low readcount"
"Bcin02g03450","low readcount"
"Bcin02g04670","low readcount"
"Bcin02g04890","low readcount"
"Bcin02g05100","low readcount"
"Bcin02g05150","low readcount"
"Bcin02g05260","low readcount"
"Bcin02g05350","low readcount"
"Bcin02g05570","low readcount"
"Bcin02g05640","low readcount"
"Bcin02g05920","low readcount"
"Bcin02g05980","low readcount"
"Bcin02g06180","low readcount"
"Bcin02g06310","low readcount"
"Bcin02g06420","low readcount"
"Bcin02g06710","low readcount"
